Game,Box Number,Order number,Money Prize,Offer,Decision,Switch
52,9,17,10,3300,No Deal,Yes
52,9,18,15000,,,
52,9,19,35000,,,
52,9,20,50000,3400,Deal,No
52,9,21,100,,,
52,9,22,500,,,
53,15,1,250000,,,
53,15,2,1000,,,
53,15,3,50,2700,No Deal,No
53,15,4,750,,,
53,15,5,10,,,
53,15,6,20,,,
53,15,7,0.1,2800,No Deal,Yes
53,15,8,7500,,,
53,15,9,0.01,,,
53,15,10,5,2900,No Deal,No
53,15,11,100,,,
53,15,12,1,,,
53,15,13,20000,,,
53,15,14,500,3000,No Deal,No
53,15,15,5000,,,
53,15,16,250,,,
53,15,17,100000,3100,No Deal,Yes
53,15,18,0.5,,,
53,15,19,15000,,,
53,15,20,35000,3200,Deal,Yes
53,15,21,75000,,,
53,15,22,50000,,,
54,13,1,750,,,
54,13,2,1000,,,
54,13,3,100000,2600,No Deal,No
54,13,4,1,,,
54,13,5,5000,,,
54,13,6,10,,,
54,13,7,20,2800,No Deal,Yes
54,13,8,50,,,
54,13,9,500,,,
54,13,10,0.5,3000,No Deal,No
54,13,11,5,,,
54,13,12,75000,,,
54,13,13,0.01,,,
54,13,14,50000,3100,No Deal,No
54,13,15,0.1,,,
54,13,16,250000,,,
54,13,17,7500,3200,No Deal,Yes
54,13,18,250,,,
54,13,19,35000,,,
54,13,20,20000,3300,Deal,Yes
54,13,21,15000,,,
54,13,22,100,,,
55,21,1,0.1,,,
55,21,2,500,,,
55,21,3,1000,2600,No Deal,No
55,21,4,750,,,
55,21,5,7500,,,
55,21,6,100,,,
55,21,7,20,2800,No Deal,Yes
55,21,8,1,,,
55,21,9,0.01,,,
55,21,10,250000,2900,No Deal,No
55,21,11,5,,,
55,21,12,100000,,,
55,21,13,50,,,
55,21,14,0.5,3100,No Deal,No
55,21,15,15000,,,
55,21,16,50000,,,
55,21,17,10,3200,No Deal,Yes
55,21,18,20000,,,
55,21,19,250,,,
55,21,20,,,,
56,10,1,0.1,,,
56,10,2,500,,,
56,10,3,1000,,,
56,10,4,7500,2900,No Deal,No
56,10,5,5,,,
56,10,6,15000,,,
56,10,7,50,3300,No Deal,Yes
56,10,8,750,,,
56,10,9,100,,,
56,10,10,20000,,,
56,10,11,50000,3700,No Deal,No
56,10,12,1,,,
56,10,13,0.01,,,
56,10,14,250000,4100,No Deal,No
56,10,15,0.5,,,
56,10,16,10,,,
56,10,17,100000,4500,No Deal,Yes
56,10,18,35000,,,
56,10,19,250,,,
56,10,20,750,4800,Deal,Yes
56,10,21,3000,,,
56,10,22,5000,,,
57,8,1,100000,,,
57,8,2,0.01,,,
57,8,3,750,,,
57,8,4,250000,3000,No Deal,No
57,8,5,1,,,
57,8,6,5000,,,
57,8,7,7500,3400,No Deal,Yes
57,8,8,500,,,
57,8,9,250,,,
57,8,10,5,,,
57,8,11,1000,3800,No Deal,No
57,8,12,50,,,
57,8,13,10,,,
57,8,14,0.5,4100,No Deal,No
57,8,15,15000,,,
57,8,16,100,,,
57,8,17,35000,4400,No Deal,Yes
57,8,18,0.1,,,
57,8,19,50000,,,
57,8,20,20000,4700,Deal,No
57,8,21,75000,,,
57,8,22,3000,,,
58,5,1,500,,,
58,5,2,0.01,,,
58,5,3,7500,2800,No Deal,No
58,5,4,10,,,
58,5,5,1000,,,
58,5,6,5000,,,
58,5,7,100,3100,No Deal,Yes
58,5,8,0.5,,,
58,5,9,250,,,
58,5,10,750,,,
58,5,11,100000,3400,No Deal,No
58,5,12,15000,,,
58,5,13,1,,,
58,5,14,250000,3800,No Deal,No
58,5,15,50,,,
58,5,16,5,,,
58,5,17,50000,4200,No Deal,Yes
58,5,18,75000,,,
58,5,19,35000,,,
58,5,20,20000,4500,Deal,Yes
58,5,21,10,,,
58,5,22,3000,,,
59,2,1,20000,,,
59,2,2,10,,,
59,2,3,5,2900,No Deal,No
59,2,4,500,,,
59,2,5,100,,,
59,2,6,5000,,,
59,2,7,0.01,3200,No Deal,Yes
59,2,8,7500,,,
59,2,9,0.5,,,
59,2,10,750,,,
59,2,11,50,3500,No Deal,No
59,2,12,1000,,,
59,2,13,250000,,,
59,2,14,100000,3900,No Deal,No
59,2,15,1,,,
59,2,16,50000,,,
59,2,17,15000,4300,No Deal,Yes
59,2,18,35000,,,
59,2,19,250,,,
59,2,20,3000,4600,Deal,No
59,2,21,75000,,,
59,2,22,500,,,
60,4,1,5000,,,
60,4,2,7500,,,
60,4,3,1,3000,No Deal,No
60,4,4,0.5,,,
60,4,5,50,,,
60,4,6,10,,,
60,4,7,100000,3400,No Deal,Yes
60,4,8,750,,,
60,4,9,100,,,
60,4,10,500,,,
60,4,11,20000,3800,No Deal,No
60,4,12,0.01,,,
60,4,13,250,,,
60,4,14,5,4100,No Deal,No
60,4,15,15000,,,
60,4,16,50000,,,
60,4,17,250000,4400,No Deal,Yes
60,4,18,3000,,,
60,4,19,75000,,,
60,,,,,,
61,6,1,0.5,,,
61,6,2,50000,,,
61,6,3,7500,2500,No Deal,No
61,6,4,100000,,,
61,6,5,20000,,,
61,6,6,50,4200,No Deal,Yes
61,6,7,0.1,,,
61,6,8,500,,,
61,6,9,10,,,
61,6,10,750,,,
61,6,11,1,4800,No Deal,No
61,6,12,75000,,,
61,6,13,35000,,,
61,6,14,1000,5200,No Deal,No
61,6,15,0.01,,,
61,6,16,15000,,,
61,6,17,250,5900,No Deal,Yes
61,6,18,100,,,
61,6,19,5,6200,Deal,Yes
61,6,20,250000,,,
61,6,21,3000,,,
61,6,22,5000,,,
62,3,1,500,,,
62,3,2,7500,2100,No Deal,No
62,3,3,250000,,,
62,3,4,15000,,,
62,3,5,5,4000,No Deal,Yes
62,3,6,5000,,,
62,3,7,0.5,,,
62,3,8,10,,,
62,3,9,35000,4900,No Deal,No
62,3,10,750,,,
62,3,11,100,5300,No Deal,No
62,3,12,0.01,,,
62,3,13,1,,,
62,3,14,75000,6000,No Deal,No
62,3,15,50,,,
62,3,16,50000,,,
62,3,17,20000,6700,No Deal,Yes
62,3,18,100000,,,
62,3,19,250,7100,Deal,No
62,3,20,3000,,,
62,3,21,0.1,,,
62,3,22,1000,,,
63,11,1,15000,,,
63,11,2,5,2300,No Deal,No
63,11,3,500,,,
63,11,4,7500,,,
63,11,5,0.01,3600,No Deal,Yes
63,11,6,10,,,
63,11,7,1000,,,
63,11,8,100,,,
63,11,9,50000,4400,No Deal,No
63,11,10,50,,,
63,11,11,0.5,4700,No Deal,No
63,11,12,250000,,,
63,11,13,750,,,
63,11,14,3000,5000,No Deal,No
63,11,15,20000,,,
63,11,16,35000,,,
63,11,17,75000,6300,No Deal,Yes
63,11,18,250,,,
63,11,19,1,6500,Deal,Yes
63,11,20,100000,,,
63,11,21,5000,,,
63,11,22,100,,,
64,7,1,50000,,,
64,7,2,5000,2900,No Deal,No
64,7,3,1000,,,
64,7,4,10,,,
64,7,5,50,3300,No Deal,Yes
64,7,6,250,,,
64,7,7,750,,,
64,7,8,0.5,,,
64,7,9,15000,3900,No Deal,No
64,7,10,7500,,,
64,7,11,1,4200,No Deal,No
64,7,12,100,,,
64,7,13,5,,,
64,7,14,35000,4900,No Deal,No
64,7,15,100000,,,
64,7,16,0.1,,,
64,7,17,250000,5700,No Deal,Yes
64,7,18,3000,,,
64,7,19,500,6000,Deal,No
64,7,20,20000,,,
64,7,21,750,,,
64,7,22,0.01,,,
65,13,1,0.01,,,
65,13,2,750,2500,No Deal,No
65,13,3,3000,,,
65,13,4,100,,,
65,13,5,5,3100,No Deal,Yes
65,13,6,15000,,,
65,13,7,50000,,,
65,13,8,500,,,
65,13,9,7500,4100,No Deal,No
65,13,10,0.5,,,
65,13,11,750,,,
65,13,12,50,4500,No Deal,No
65,13,13,20000,,,
65,13,14,1,4800,No Deal,No
65,13,15,35000,,,
65,13,16,250,,,
65,13,17,1000,5200,,
66,15,1,750,,,
66,15,2,0.01,3700,No Deal,No
66,15,3,100,,,
66,15,4,5,,,
66,15,5,250000,4800,No Deal,Yes
66,15,6,7500,,,
66,15,7,5000,,,
66,15,8,35000,5300,No Deal,No
66,15,9,1000,,,
66,15,10,0.5,,,
66,15,11,10,5800,No Deal,No
66,15,12,500,,,
66,15,13,15000,,,
66,15,14,100000,6500,No Deal,No
66,15,15,250,,,
66,15,16,20000,,,
66,15,17,75000,7200,No Deal,Yes
66,15,18,50,,,
66,15,19,1,7500,Deal,No
66,15,20,50000,,,
66,15,21,3000,,,
66,15,22,50,,,
67,8,1,1000,,,
67,8,2,10,3100,No Deal,No
67,8,3,500,,,
67,8,4,0.5,,,
67,8,5,15000,4000,No Deal,Yes
67,8,6,250,,,
67,8,7,5,,,
67,8,8,7500,4400,No Deal,No
67,8,9,20000,,,
67,8,10,100000,,,
67,8,11,50,5200,No Deal,No
67,8,12,5000,,,
67,8,13,35000,,,
67,8,14,0.01,5900,No Deal,No
67,8,15,100,,,
67,8,16,750,,,
67,8,17,50000,6400,No Deal,Yes
67,8,18,1,,,
67,8,19,250000,6800,Deal,Yes
67,8,20,3000,,,
67,8,21,75000,,,
67,8,22,50,,,
68,2,1,5,,,
68,2,2,100000,4900,No Deal,No
68,2,3,50,,,
68,2,4,7500,,,
68,2,5,0.01,5400,No Deal,Yes
68,2,6,750,,,
68,2,7,5000,,,
68,2,8,250000,6000,No Deal,No
68,2,9,35000,,,
68,2,10,100,,,
68,2,11,500,6500,No Deal,No
68,2,12,10,,,
68,2,13,15000,,,
68,2,14,1,6900,No Deal,No
68,2,15,50000,,,
68,2,16,0.5,,,
68,2,17,3000,7400,No Deal,Yes
68,2,18,250,,,
68,2,19,75000,7700,Deal,No
68,2,20,20000,,,
68,2,21,1000,,,
68,2,22,50,,,
69,10,1,50000,,,
69,10,2,500,3000,No Deal,No
69,10,3,15000,,,
69,10,4,1,,,
69,10,5,250000,4500,No Deal,Yes
69,10,6,10,,,
69,10,7,20000,,,
69,10,8,7500,5200,No Deal,No
69,10,9,0.5,,,
69,10,10,5,5600,No Deal,No
69,10,11,5000,,,
69,10,12,750,,,
69,10,13,0.01,5800,No Deal,No
69,10,14,1000,,,
69,10,15,100,,,
69,10,16,35000,6100,No Deal,No
69,10,17,250,,,
69,10,18,100000,6500,No Deal,Yes
69,10,19,50,6800,Deal,No
69,10,20,3000,,,
69,10,21,75000,,,
69,10,22,50,,,
70,14,1,100000,,,
70,14,2,250,4900,No Deal,No
70,14,3,50,,,
70,14,4,5000,,,
70,14,5,10,5300,No Deal,Yes
70,14,6,15000,,,
70,14,7,500,,,
70,14,8,100,5600,No Deal,No
70,14,9,750,,,
70,14,10,0.5,,,
70,14,11,250000,6200,No Deal,No
70,14,12,3000,,,
70,14,13,50000,,,
70,14,14,7500,6700,No Deal,No
70,14,15,1,,,
70,14,16,0.01,,,
70,14,17,5,7000,No Deal,Yes
70,14,18,35000,,,
70,14,19,75000,7400,Deal,No
70,14,20,20000,,,
70,14,21,1000,,,
70,14,22,50,,,
71,11,1,7500,,,
71,11,2,250,5200,No Deal,No
71,11,3,50000,,,
71,11,4,10,5800,No Deal,Yes
71,11,5,500,,,
71,11,6,1000,,,
71,11,7,100,6200,No Deal,No
71,11,8,20000,,,
71,11,9,0.01,,,
71,11,10,75000,6600,No Deal,No
71,11,11,15000,,,
71,11,12,250000,7100,No Deal,No
71,11,13,35000,,,
71,11,14,750,7500,No Deal,Yes
71,11,15,100000,,,
71,11,16,0.5,,,
71,11,17,5,7900,No Deal,No
71,11,18,50,,,
71,11,19,3000,8100,Deal,Yes
71,11,20,5000,,,
71,11,21,1,,,
71,11,22,50,,,
72,6,1,100,,,
72,6,2,0.5,4500,No Deal,No
72,6,3,15000,,,
72,6,4,500,,,
72,6,5,3000,5000,No Deal,Yes
72,6,6,50,,,
72,6,7,75000,5600,No Deal,No
72,6,8,250000,,,
72,6,9,0.01,,,
72,6,10,750,6200,No Deal,No
72,6,11,50000,,,
72,6,12,100000,6600,No Deal,No
72,6,13,250,,,
72,6,14,5,7000,No Deal,Yes
72,6,15,20000,,,
72,6,16,1,,,
72,6,17,35000,7400,No Deal,No
72,6,18,5000,,,
72,6,19,750,7700,Deal,Yes
72,6,20,1000,,,
72,6,21,10,,,
72,6,22,50,,,
73,18,1,0.01,,,
73,18,2,750,4600,No Deal,No
73,18,3,1000,,,
73,18,4,5,4900,No Deal,Yes
73,18,5,100,,,
73,18,6,250,,,
73,18,7,5000,5200,No Deal,No
73,18,8,10,,,
73,18,9,20000,,,
73,18,10,75000,5700,No Deal,No
73,18,11,500,,,
73,18,12,15000,,,
73,18,13,50000,6100,No Deal,No
73,18,14,50,,,
73,18,15,1,,,
73,18,16,100000,6600,No Deal,Yes
73,18,17,0.5,,,
73,18,18,3000,6900,No Deal,No
73,18,19,250000,,,
73,18,20,750,7300,Deal,No
73,18,21,35000,,,
73,18,22,250,,,
74,3,1,50000,,,
74,3,2,1000,5400,No Deal,No
74,3,3,10,,,
74,3,4,0.01,,,
74,3,5,75000,5800,No Deal,Yes
74,3,6,100,,,
74,3,7,5,6000,No Deal,No
74,3,8,50,,,
74,3,9,3000,,,
74,3,10,250000,6500,No Deal,No
74,3,11,15000,,,
74,3,12,100000,7000,No Deal,No
74,3,13,500,,,
74,3,14,0.5,,,
74,3,15,5000,7300,No Deal,Yes
74,3,16,20000,,,
74,3,17,1,,,
74,3,18,250,7600,No Deal,No
74,3,19,35000,,,
74,3,20,750,7900,Deal,Yes
74,3,21,7500,,,
74,3,22,3000,,,
75,15,1,20000,,,
75,15,2,75000,5500,No Deal,No
75,15,3,0.01,,,
75,15,4,7500,6000,No Deal,Yes
75,15,5,500,,,
75,15,6,50,,,
75,15,7,1,6300,No Deal,No
75,15,8,15000,,,
75,15,9,100,,,
75,15,10,5000,6700,No Deal,No
75,15,11,100000,,,
75,15,12,1000,,,
75,15,13,250000,7000,No Deal,No
75,15,14,5,,,
75,15,15,3000,7200,No Deal,Yes
75,15,16,0.5,,,
75,15,17,50,7500,No Deal,No
75,15,18,50000,,,
75,15,19,500,7800,Deal,No
75,15,20,250,,,
75,15,21,750,,,
75,15,22,35000,,,
76,14,1,500,,,
76,14,2,100000,6500,No Deal,No
76,14,3,15000,,,
76,14,4,5000,7000,No Deal,Yes
76,14,5,50,,,
76,14,6,250000,,,
76,14,7,20000,7500,No Deal,No
76,14,8,3000,,,
76,14,9,5,,,
76,14,10,0.01,7600,No Deal,No
76,14,11,1000,,,
76,14,12,1,,,
76,14,13,75000,7900,No Deal,No
76,14,14,10,,,
76,14,15,50000,8300,No Deal,Yes
76,14,16,250,,,
76,14,17,750,8600,No Deal,No
76,14,18,0.5,,,
76,14,19,7500,8800,Deal,Yes
76,14,20,35000,,,
76,14,21,100,,,
76,14,22,50,,,
77,5,1,0.5,,,
77,5,2,20000,5900,No Deal,No
77,5,3,10,,,
77,5,4,50000,6400,No Deal,Yes
77,5,5,750,,,
77,5,6,250,,,
77,5,7,5000,6800,No Deal,No
77,5,8,100,,,
77,5,9,3000,,,
77,5,10,50,7000,No Deal,No
77,5,11,1,,,
77,5,12,75000,,,
77,5,13,0.01,7400,No Deal,No
77,5,14,500,,,
77,5,15,15000,7700,No Deal,Yes
77,5,16,1000,,,
77,5,17,5,7900,No Deal,No
77,5,18,250000,,,
77,5,19,35000,8200,Deal,No
77,5,20,100000,,,
77,5,21,750,,,
77,5,22,5000,,,
78,7,1,750,,,
78,7,2,0.5,5800,No Deal,No
78,7,3,500,,,
78,7,4,250000,6300,No Deal,Yes
78,7,5,15000,,,
78,7,6,50,,,
78,7,7,5,6500,No Deal,No
78,7,8,7500,,,
78,7,9,1,,,
78,7,10,20000,6900,No Deal,No
78,7,11,1000,,,
78,7,12,10,,,
78,7,13,100000,7200,No Deal,No
78,7,14,5000,,,
78,7,15,0.01,,,
78,7,16,50000,7600,No Deal,Yes
78,7,17,3000,,,
78,7,18,100,7900,No Deal,No
78,7,19,75000,,,
78,7,20,250,8100,Deal,Yes
78,7,21,35000,,,
78,7,22,50,,,
